Datetime,BTC-USD,ETH-USD
2024-06-29 10:42:00+00:00,60891.21875,3392.15283203125
2024-06-29 10:43:00+00:00,60889.30078125,3392.154296875
2024-06-29 10:44:00+00:00,60891.93359375,3392.186279296875
2024-06-29 10:47:00+00:00,60890.02734375,3391.755859375
2024-06-29 10:48:00+00:00,60889.2109375,3391.4267578125
2024-06-29 10:51:00+00:00,60915.5234375,3394.00439453125
2024-06-29 10:52:00+00:00,60920.453125,3394.24658203125
2024-06-29 10:55:00+00:00,60912.546875,3393.08935546875
2024-06-29 10:56:00+00:00,60897.83984375,3392.206298828125
2024-06-29 10:59:00+00:00,60888.47265625,3391.5888671875
2024-06-29 11:00:00+00:00,60890.7109375,3391.752197265625
2024-06-29 11:01:00+00:00,60888.47265625,3391.46533203125
2024-06-29 11:02:00+00:00,60893.0546875,3391.416259765625
2024-06-29 11:03:00+00:00,60881.8046875,3391.3671875
2024-06-29 11:04:00+00:00,60874.86328125,3391.03125
2024-06-29 11:05:00+00:00,60881.94921875,3391.5419921875
2024-06-29 11:06:00+00:00,60874.80078125,3391.25830078125
2024-06-29 11:09:00+00:00,60878.03515625,3391.50830078125
2024-06-29 11:12:00+00:00,60871.015625,3390.57470703125
2024-06-29 11:14:00+00:00,60856.6796875,3389.46533203125
2024-06-29 11:15:00+00:00,60859.57421875,3389.816162109375
2024-06-29 11:16:00+00:00,60857.37890625,3390.393310546875
2024-06-29 11:17:00+00:00,60856.4921875,3390.177490234375
2024-06-29 11:18:00+00:00,60852.390625,3389.939453125
2024-06-29 11:19:00+00:00,60846.953125,3389.685302734375
2024-06-29 11:20:00+00:00,60857.66015625,3390.0
2024-06-29 11:21:00+00:00,60868.76171875,3390.34423828125
2024-06-29 11:25:00+00:00,60895.88671875,3392.35302734375
2024-06-29 11:26:00+00:00,60897.8359375,3392.475830078125
2024-06-29 11:27:00+00:00,60901.734375,3392.669921875
2024-06-29 11:28:00+00:00,60899.7890625,3392.70703125
2024-06-29 11:29:00+00:00,60906.82421875,3394.1123046875
2024-06-29 11:30:00+00:00,60905.24609375,3394.901123046875
2024-06-29 11:31:00+00:00,60903.84375,3395.4453125
2024-06-29 11:36:00+00:00,61056.1796875,3398.3505859375
2024-06-29 11:39:00+00:00,61094.01171875,3399.2080078125
2024-06-29 11:40:00+00:00,61097.62109375,3399.472900390625
2024-06-29 11:41:00+00:00,61093.2109375,3399.025390625
2024-06-29 11:42:00+00:00,61062.73046875,3397.594970703125
2024-06-29 11:45:00+00:00,61054.73828125,3397.22314453125
2024-06-29 11:48:00+00:00,61088.16015625,3399.540771484375
2024-06-29 11:49:00+00:00,61070.8984375,3399.002197265625
2024-06-29 11:50:00+00:00,61061.91796875,3398.54150390625
2024-06-29 11:51:00+00:00,61056.65234375,3398.26708984375
2024-06-29 11:52:00+00:00,61058.99609375,3398.281494140625
2024-06-29 11:53:00+00:00,61056.45703125,3398.099365234375
2024-06-29 11:54:00+00:00,61046.77734375,3398.095947265625
2024-06-29 11:56:00+00:00,61028.01171875,3397.208740234375
2024-06-29 11:57:00+00:00,61034.11328125,3397.435791015625
2024-06-29 12:00:00+00:00,61013.5390625,3395.632080078125
2024-06-29 12:03:00+00:00,61016.3125,3395.9892578125
2024-06-29 12:05:00+00:00,60987.16015625,3394.672119140625
2024-06-29 12:06:00+00:00,61010.16015625,3395.71826171875
2024-06-29 12:07:00+00:00,61049.0390625,3397.822021484375
2024-06-29 12:08:00+00:00,61041.6640625,3397.31494140625
2024-06-29 12:09:00+00:00,61040.00390625,3397.120361328125
2024-06-29 12:12:00+00:00,61001.421875,3394.323486328125
2024-06-29 12:13:00+00:00,61000.90625,3394.268798828125
2024-06-29 12:14:00+00:00,61006.1640625,3394.406005859375
2024-06-29 12:15:00+00:00,60992.3671875,3393.786376953125
2024-06-29 12:18:00+00:00,61009.109375,3394.391357421875
2024-06-29 12:20:00+00:00,61030.20703125,3394.38525390625
2024-06-29 12:21:00+00:00,61029.65625,3394.589111328125
2024-06-29 12:24:00+00:00,61024.8515625,3393.90869140625
2024-06-29 12:25:00+00:00,61031.66796875,3393.791748046875
2024-06-29 12:26:00+00:00,61024.98046875,3393.261474609375
2024-06-29 12:27:00+00:00,61017.85546875,3392.970947265625
2024-06-29 12:28:00+00:00,61026.24609375,3393.061767578125
2024-06-29 12:29:00+00:00,61020.453125,3393.127685546875
2024-06-29 12:30:00+00:00,61013.3828125,3392.890625
2024-06-29 12:34:00+00:00,61033.5390625,3393.58984375
2024-06-29 12:35:00+00:00,61024.0546875,3393.321533203125
2024-06-29 12:36:00+00:00,61017.8359375,3393.070068359375
2024-06-29 12:39:00+00:00,61027.0,3393.66259765625
2024-06-29 12:40:00+00:00,61027.390625,3393.279541015625
2024-06-29 12:41:00+00:00,61021.55859375,3393.058837890625
2024-06-29 12:42:00+00:00,61021.46875,3392.87548828125
2024-06-29 12:43:00+00:00,61016.06640625,3392.534423828125
2024-06-29 12:44:00+00:00,61003.10546875,3391.73828125
2024-06-29 12:45:00+00:00,60995.0390625,3391.23486328125
2024-06-29 12:48:00+00:00,60959.953125,3389.114501953125
2024-06-29 12:51:00+00:00,60918.29296875,3386.343017578125
2024-06-29 12:54:00+00:00,60916.83203125,3386.501708984375
2024-06-29 12:56:00+00:00,60931.44921875,3387.0146484375
2024-06-29 12:59:00+00:00,60943.33984375,3387.28857421875
2024-06-29 13:00:00+00:00,60944.95703125,3387.349609375
2024-06-29 13:01:00+00:00,60952.42578125,3388.042236328125
